Date,Region,NTP,NTC,NTA,NTR,TR,NB,pourcentage
2015-02,Picardie,10286,10125,161,1058,89.55061728395061,8.569943289224952,"11,85"
2014-08,Midi Pyrénées,8477,8227,250,637,92.25720189619544,11.915227629513344,"10,46"
2015-03,Alsace,19700,19530,170,704,96.39528929851512,26.74147727272728,"4,43"
2013-01,Haute Normandie,5957,5878,79,488,91.69785641374617,11.045081967213116,"9,51"
2014-08,Nord Pas de Calais,17612,17422,190,851,95.11537136953278,19.472385428907167,"5,91"
2015-03,Bretagne,8039,7972,67,390,95.10787757150024,19.44102564102564,"5,68"
2013-01,Limousin,3817,3770,47,210,94.42970822281168,16.952380952380953,"6,73"
2014-08,Picardie,8841,8621,220,600,93.04025055098016,13.368333333333334,"9,27"
2015-03,Franche Comté,5672,5636,36,310,94.49964513839602,17.18064516129032,"6,1"
2013-01,Provence Alpes Côte d'Azur,13956,13219,737,1816,86.26219835085861,6.279185022026431,"18,29"
2013-01,Aquitaine,8099,8014,85,731,90.878462690292,9.963064295485635,"10,07"
2014-09,Alsace,19660,19543,117,500,97.44153917003533,38.086,"3,13"
2015-03,Haute Normandie,5956,5862,94,293,95.0017059024224,19.00682593856656,"6,49"
2013-01,Rhône Alpes,31438,30779,659,3552,88.459664056662,7.665259009009009,"13,39"
2013-01,Auvergne,5785,5732,53,431,92.4808094905792,12.299303944315543,"8,36"
2014-09,Basse Normandie,3250,3207,43,165,94.85500467726848,18.43636363636364,"6,4"
2015-03,Nord Pas de Calais,19080,18488,592,1552,91.60536564257896,10.91237113402062,"11,23"
2013-02,Centre,8979,8830,149,629,92.87655719139298,13.038155802861684,"8,66"
2013-01,Midi Pyrénées,8208,7941,267,903,88.62863619191538,7.794019933554817,"14,25"
2014-09,Centre,8935,8855,80,510,94.24054206662902,16.362745098039216,"6,6"
2015-04,Aquitaine,8405,8178,227,1038,87.30741012472487,6.878612716763006,"15,05"
2013-02,Provence Alpes Côte d'Azur,12581,12142,439,1761,85.49662329105584,5.894946053378762,"17,48"
2013-01,Picardie,11754,11673,81,1245,89.3343613466975,8.375903614457831,"11,28"
2014-09,Nord Pas de Calais,19414,19078,336,1513,92.06939930810356,11.609385327164574,"9,52"
2015-04,Midi Pyrénées,8178,8037,141,638,92.06171457011322,11.59717868338558,"9,52"
2013-03,Centre,9633,9446,187,634,93.2881643023502,13.899053627760251,"8,52"
