Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2017-10;Transilien;N;Paris Montparnasse;90.4;9.4
2016-11;Transilien;N;Paris Montparnasse;86.2;6.2
2017-11;Transilien;L;Paris Saint-Lazare Sud;83.1;4.9
2016-12;RER;B;RER B;81.7;4.5
2017-11;Transilien;N;Paris Montparnasse;86.2;6.2
2016-12;RER;D;RER D;80.8;4.2
2017-11;Transilien;P;Paris Est;89.7;8.7
2016-12;Transilien;H;Paris Nord Ouest;58.1;1.4
2017-11;Transilien;U;La Verrière - La Défense;89.1;8.2
2016-12;Transilien;L;Paris Saint-Lazare Sud;89.5;8.5
2018-01;RER;B;RER B;88.5;7.7
2016-12;Transilien;N;Paris Montparnasse;90.1;9.1
2018-01;RER;D;RER D;84.9;5.6
2016-12;Transilien;P;Paris Est;90.7;9.8
2018-01;Transilien;K;Paris Nord Crépy;91.6;10.9
2017-01;RER;E;RER E;92.3;12.0
2018-01;Transilien;P;Paris Est;90.8;9.9
2017-01;Transilien;L;Paris Saint-Lazare Sud;87.0;6.7
2018-02;Transilien;R;Paris Sud Est;73.2;2.7
2017-02;RER;C;RER C;83.4;5.0
2018-03;RER;D;RER D;82.2;4.6
2017-02;Transilien;L;Paris Saint-Lazare Sud;90.1;9.1
2018-03;Transilien;U;La Verrière - La Défense;92.7;12.7
2017-02;Transilien;N;Paris Montparnasse;89.9;8.9
2018-04;Transilien;K;Paris Nord Crépy;90.6;9.6
2017-03;Transilien;K;Paris Nord Crépy;92.9;13.1
2018-04;Transilien;P;Paris Est;95.3;20.3
2017-03;Transilien;P;Paris Est;93.2;13.7
2018-05;RER;D;RER D;85.4;5.8
2017-03;Transilien;R;Paris Sud Est;86.3;6.3
2018-05;RER;E;RER E;95.6;21.7
2017-03;Transilien;U;La Verrière - La Défense;94.8;18.2
2018-05;Transilien;L;Paris Saint-Lazare Sud;91.5;10.8
2017-04;RER;A;RER A;73.9;2.8
2018-06;RER;B;RER B;87.4;6.9
2017-04;RER;C;RER C;85.9;6.1
2018-06;Transilien;H;Paris Nord Ouest;92.2;11.8
2017-04;Transilien;P;Paris Est;94.4;16.9
2018-06;Transilien;J;Paris Saint-Lazare Nord;94.0;15.7
2017-06;RER;E;RER E;86.617;6.5
2018-07;RER;A;RER A;78.5;3.7
2017-07;RER;B;RER B;88.586;7.8
2018-07;Transilien;K;Paris Nord Crépy;90.2;9.2
2017-07;RER;D;RER D;83.497;5.1
2018-07;Transilien;P;Paris Est;88.2;7.5
2017-07;Transilien;K;Paris Nord Crépy;90.507;9.5
2018-08;RER;C;RER C;92.4;12.2
2017-07;Transilien;N;Paris Montparnasse;88.009;7.3
2018-08;Transilien;K;Paris Nord Crépy;89.0;8.1
2017-07;Transilien;R;Paris Sud Est;74.458;2.9
2018-08;Transilien;L;Paris Saint-Lazare Sud;95.9;23.4
2017-08;Transilien;R;Paris Sud Est;86.4;6.4
2018-08;Transilien;P;Paris Est;93.3;13.9
2017-09;RER;B;RER B;87.3;6.9
2018-08;Transilien;U;La Verrière - La Défense;90.8;9.9
2017-09;Transilien;K;Paris Nord Crépy;93.2;13.7
2018-09;Transilien;N;Paris Montparnasse;91.1;10.2
2017-09;Transilien;R;Paris Sud Est;80.9;4.2
2018-09;Transilien;P;Paris Est;91.8;11.2
2017-10;Transilien;K;Paris Nord Crépy;92.2;11.8
2018-10;RER;E;RER E;90.2;9.2
2017-10;Transilien;P;Paris Est;86.7;6.5
2018-12;Transilien;U;La Verrière - La Défense;91.6;10.9
2017-10;Transilien;R;Paris Sud Est;85.2;5.8
2019-01;Transilien;H;Paris Nord Ouest;94.1;15.9
2017-11;RER;B;RER B;83.3;5.0
2019-01;Transilien;L;Paris Saint-Lazare Sud;91.7;11.0
2017-11;RER;D;RER D;79.2;3.8
2019-01;Transilien;U;La Verrière - La Défense;92.9;13.1
2017-11;Transilien;H;Paris Nord Ouest;88.7;7.8
2019-02;RER;A;RER A;86.9;6.6
2017-12;RER;B;RER B;84.3;5.4
2019-02;Transilien;H;Paris Nord Ouest;93.421;14.2
2017-12;RER;D;RER D;84.0;5.3
2019-03;RER;B;RER B;89.0;8.1
2017-12;RER;E;RER E;94.0;15.7
